Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,Result_Encoded,Home_Last_5_Points,Away_Last_5_Points,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws
2014,Batroolka FC,Gaadiidka FC,0,2,-2,2,0,3,-1,1,9,1,3,3,1,2
2014,Mogadishu City Club,Horseed SC,2,0,2,-2,3,4,1,11,13,8,3,3,8,7
2014,Elman FC,Jeenyo FC,2,5,-3,3,1,0,-1,3,2,4,5,5,4,7
2014,Batroolka FC,Heegan SC,1,3,-2,2,0,3,-1,1,11,0,6,6,0,0
2014,Mogadishu City Club,Dekedda SC,2,1,1,-1,3,3,1,11,10,5,6,6,5,6
2014,Elman FC,Gaadiidka FC,3,1,2,-2,1,3,1,3,9,9,4,4,9,2
2014,Jeenyo FC,Horseed SC,1,0,1,-1,3,4,1,9,13,7,6,6,7,3
2014,Heegan SC,Mogadishu City Club,0,2,-2,2,2,1,-1,7,6,3,6,6,3,8
2014,Elman FC,Batroolka FC,8,0,8,-8,1,1,1,3,3,4,1,1,4,1
2014,Jeenyo FC,Dekedda SC,1,1,0,0,3,3,0,9,10,4,8,8,4,4
2014,Horseed SC,Gaadiidka FC,3,2,1,-1,3,3,1,11,9,8,4,4,8,4
2014,Elman FC,Heegan SC,2,2,0,0,1,3,0,3,11,6,6,6,6,6
2014,Jeenyo FC,Mogadishu City Club,1,1,0,0,3,1,0,9,6,4,8,8,4,4
2014,Horseed SC,Batroolka FC,6,1,5,-5,3,1,1,11,3,5,0,0,5,1
2014,Gaadiidka FC,Dekedda SC,0,0,0,0,0,3,0,1,10,1,8,8,1,7
2014,Heegan SC,Jeenyo FC,1,1,0,0,2,0,0,7,2,7,2,2,7,7
2014,Horseed SC,Elman FC,1,1,0,0,3,1,0,11,5,6,6,6,6,5
2014,Gaadiidka FC,Mogadishu City Club,1,2,-1,1,0,1,-1,1,6,1,12,12,1,2
2014,Dekedda SC,Batroolka FC,1,2,-1,1,1,1,-1,5,3,5,1,1,5,0
2014,Horseed SC,Heegan SC,3,3,0,0,3,3,0,11,11,3,6,6,3,8
2014,Gaadiidka FC,Jeenyo FC,3,1,2,-2,0,0,1,1,2,6,4,4,6,4
2014,Dekedda SC,Elman FC,0,3,-3,3,1,1,-1,5,5,7,7,7,7,3
2014,Batroolka FC,Mogadishu City Club,1,7,-6,6,0,1,-1,1,6,0,5,5,0,1
2014,Geeska Afrika FC,Gasko FC,0,1,-1,1,0,0,-1,0,1,1,3,3,1,0
2014,Jamhuuriya FC,Raadsan FC,3,0,3,-3,1,2,1,5,8,2,2,2,2,0
2014,Midnimo FC,Gasko FC,3,0,3,-3,2,0,1,7,1,2,0,0,2,2
