date,home,score,away
25/02/2014 , Batroolka FC , 0 : 2 , Gaadiidka FC 
27/02/2014 , Mogadishu City Club , 2 : 0 , Horseed S.C 
28/02/2014 , Elman FC , 2 : 5 , Jeenyo  FC 
03/03/2014 , Batroolka FC , 1 : 3 , Heegan S.C 
04/03/2014 , Mogadishu City Club , 2 : 1 , Dekedda SC 
06/03/2014 , Elman FC , 3 : 1 , Gaadiidka FC 
07/03/2014 , Jeenyo  FC , 1 : 0 , Horseed S.C 
10/03/2014 , Heegan S.C , 0 : 2 , Mogadishu City Club 
11/03/2014 , Elman FC , 8 : 0 , Batroolka FC 
13/03/2014 , Jeenyo  FC , 1 : 1 , Dekedda SC 
14/03/2014 , Horseed S.C , 3 : 2 , Gaadiidka FC 
20/03/2014 , Elman FC , 2 : 2 , Heegan S.C 
21/03/2014 , Jeenyo  FC , 1 : 1 , Mogadishu City Club 
24/03/2014 , Horseed S.C , 6 : 1 , Batroolka FC 
25/03/2014 , Gaadiidka FC , 0 : 0 , Dekedda SC 
27/03/2014 , Heegan S.C , 1 : 1 , Jeenyo  FC 
28/03/2014 , Horseed S.C , 1 : 1 , Elman FC 
31/03/2014 , Gaadiidka FC , 1 : 2 , Mogadishu City Club 
01/04/2014 , Dekedda SC , 1 : 2 , Batroolka FC 
03/04/2014 , Horseed S.C , 3 : 3 , Heegan S.C 
04/04/2014 , Gaadiidka FC , 3 : 1 , Jeenyo  FC 
05/04/2014 , Dekedda SC , 0 : 3 , Elman FC 
06/04/2014 , Batroolka FC , 1 : 7 , Mogadishu City Club 
12/10/2014 , Geeska Afrika FC , 0 : 1 , Gasko FC 
14/10/2014 , , 2 : 6 , Jazeera SC 
16/10/2014 , Jamhuuriya FC , 3 : 0 , Raadsan FC 
17/10/2014 , Midnimo FC , 3 : 0 , Gasko FC 
19/10/2014 , Geeska Afrika FC , 3 : 1 , Raadsan FC 
21/10/2014 , Jamhuuriya FC , 6 : 2 , 
23/10/2014 , Jazeera SC , 2 : 3 , Midnimo FC 
24/10/2014 , Gasko FC , 0 : 4 , Raadsan FC 
26/10/2014 , Geeska Afrika FC , 2 : 1 , 
28/10/2014 , Midnimo FC , 4 : 3 , Raadsan FC 
30/10/2014 , Jazeera SC , 1 : 2 , Jamhuuriya FC 
31/10/2014 , Gasko FC , 1 : 0 , 
02/11/2014 , Jamhuuriya FC , 1 : 1 , Midnimo FC 
04/11/2014 , Raadsan FC , 2 : 1 , 
06/11/2014 , Jazeera SC , 3 : 2 , Geeska Afrika FC 
07/11/2014 , Midnimo FC , 5 : 0 , 
09/11/2014 , Jamhuuriya FC , 1 : 3 , Geeska Afrika FC 
11/11/2014 , Jazeera SC , 2 : 0 , Gasko FC 
13/11/2014 , Geeska Afrika FC , 3 : 2 , Midnimo FC 
14/11/2014 , Jamhuuriya FC , 3 : 1 , Gasko FC 
16/11/2014 , Raadsan FC , 1 : 2 , Jazeera SC 
18/11/2014 , Gasko FC , 2 : 1 , Geeska Afrika FC 
20/11/2014 , Jazeera SC , 1 : 1 , 
21/11/2014 , Raadsan FC , 3 : 2 , Jamhuuriya FC 
23/11/2014 , Gasko FC , 0 : 5 , Midnimo FC 
25/11/2014 , Raadsan FC , 3 : 1 , Geeska Afrika FC 
27/11/2014 , Jamhuuriya FC , 0 : 0 , 
28/11/2014 , Midnimo FC , 2 : 2 , Jazeera SC 
30/11/2014 , Raadsan FC , 3 : 2 , Gasko FC 
02/12/2014 , , 1 : 3 , Geeska Afrika FC 
04/12/2014 , Raadsan FC , 1 : 7 , Midnimo FC 
05/12/2014 , Jamhuuriya FC , 2 : 3 , Jazeera SC 
07/12/2014 , , 2 : 2 , Gasko FC 
09/12/2014 , Midnimo FC , 9 : 2 , Jamhuuriya FC 
11/12/2014 , , 3 : 4 , Raadsan FC 
12/12/2014 , Geeska Afrika FC , 1 : 3 , Jazeera SC 
14/12/2014 , , 1 : 12 , Midnimo FC 
16/12/2014 , Geeska Afrika FC , 2 : 1 , Jamhuuriya FC 
18/12/2014 , Gasko FC , 0 : 1 , Jazeera SC 
19/12/2014 , Midnimo FC , 5 : 2 , Geeska Afrika FC 
20/12/2014 , Gasko FC , 4 : 1 , Jamhuuriya FC 
21/12/2014 , Jazeera SC , 0 : 2 , Raadsan FC 
19/12/2014 , Horseed S.C , 2 : 3 , Elman FC 
21/12/2014 , Jeenyo  FC , 1 : 3 , Heegan S.C 
22/12/2014 , SomaliFruit FC , 3 : 1 , Dekedda SC 
23/12/2014 , Mogadishu City Club , 1 : 1 , Gaadiidka FC 
25/12/2014 , Batroolka FC , 2 : 3 , Sahafi FC 
26/12/2014 , Heegan S.C , 4 : 0 , Horseed S.C 
29/12/2014 , Elman FC , 1 : 1 , Dekedda SC 
30/12/2014 , Jeenyo  FC , 4 : 2 , Gaadiidka FC 
01/01/2015 , Sahafi FC , 2 : 0 , SomaliFruit FC 
