date,home,score,away,home_score,away_score
12/02/2018 , Jeenyo  FC ,0 : 2, Dekedda SC ,0.0,2.0
13/02/2018 , Elman FC ,2 : 6, Mogadishu City Club ,2.0,6.0
14/02/2018 , Gaadiidka FC ,1 : 3, Horseed S.C ,1.0,3.0
15/02/2018 , Waxool FC ,0 : 1, Madbacadda FC ,0.0,1.0
16/02/2018 , Batroolka FC ,1 : 2, Heegan S.C ,1.0,2.0
19/02/2018 , Dekedda SC ,1 : 0, Mogadishu City Club ,1.0,0.0
20/02/2018 , Jeenyo  FC ,0 : 2, Horseed S.C ,0.0,2.0
21/02/2018 , Elman FC ,5 : 1, Madbacadda FC ,5.0,1.0
22/02/2018 , Gaadiidka FC ,1 : 2, Heegan S.C ,1.0,2.0
23/02/2018 , Waxool FC ,2 : 2, Batroolka FC ,2.0,2.0
26/02/2018 , Horseed S.C ,0 : 0, Dekedda SC ,0.0,0.0
27/02/2018 , Mogadishu City Club ,2 : 0, Madbacadda FC ,2.0,0.0
28/02/2018 , Jeenyo  FC ,1 : 0, Heegan S.C ,1.0,0.0
01/03/2018 , Elman FC ,1 : 4, Batroolka FC ,1.0,4.0
02/03/2018 , Gaadiidka FC ,1 : 1, Waxool FC ,1.0,1.0
05/03/2018 , Dekedda SC ,7 : 1, Madbacadda FC ,7.0,1.0
06/03/2018 , Horseed S.C ,0 : 0, Heegan S.C ,0.0,0.0
07/03/2018 , Mogadishu City Club ,1 : 1, Batroolka FC ,1.0,1.0
08/03/2018 , Jeenyo  FC ,0 : 1, Waxool FC ,0.0,1.0
12/03/2018 , Heegan S.C ,0 : 0, Dekedda SC ,0.0,0.0
13/03/2018 , Madbacadda FC ,0 : 0, Batroolka FC ,0.0,0.0
14/03/2018 , Horseed S.C ,3 : 0, Waxool FC ,3.0,0.0
15/03/2018 , Mogadishu City Club ,3 : 0, Gaadiidka FC ,3.0,0.0
16/03/2018 , Jeenyo  FC ,2 : 2, Elman FC ,2.0,2.0
19/03/2018 , Dekedda SC ,5 : 0, Batroolka FC ,5.0,0.0
20/03/2018 , Heegan S.C ,5 : 0, Waxool FC ,5.0,0.0
21/03/2018 , Madbacadda FC ,0 : 2, Gaadiidka FC ,0.0,2.0
22/03/2018 , Horseed S.C ,2 : 0, Elman FC ,2.0,0.0
23/03/2018 , Mogadishu City Club ,4 : 2, Jeenyo  FC ,4.0,2.0
26/03/2018 , Waxool FC ,1 : 4, Dekedda SC ,1.0,4.0
27/03/2018 , Gaadiidka FC ,0 : 1, Batroolka FC ,0.0,1.0
28/03/2018 , Elman FC ,1 : 2, Heegan S.C ,1.0,2.0
29/03/2018 , Jeenyo  FC ,1 : 1, Madbacadda FC ,1.0,1.0
30/03/2018 , Mogadishu City Club ,3 : 2, Horseed S.C ,3.0,2.0
31/03/2018 , Dekedda SC ,6 : 0, Gaadiidka FC ,6.0,0.0
01/04/2018 , Elman FC ,4 : 1, Waxool FC ,4.0,1.0
02/04/2018 , Jeenyo  FC ,6 : 0, Batroolka FC ,6.0,0.0
03/04/2018 , Mogadishu City Club ,1 : 1, Heegan S.C ,1.0,1.0
04/04/2018 , Horseed S.C ,1 : 1, Madbacadda FC ,1.0,1.0
05/04/2018 , Elman FC ,3 : 0, Dekedda SC ,3.0,0.0
07/04/2018 , Jeenyo  FC ,3 : 6, Gaadiidka FC ,3.0,6.0
08/04/2018 , Mogadishu City Club ,2 : 0, Waxool FC ,2.0,0.0
09/04/2018 , Horseed S.C ,5 : 0, Batroolka FC ,5.0,0.0
10/04/2018 , Madbacadda FC ,1 : 0, Heegan S.C ,1.0,0.0
11/04/2018 , Dekedda SC ,3 : 0, Jeenyo  FC ,3.0,0.0
12/04/2018 , Mogadishu City Club ,4 : 2, Elman FC ,4.0,2.0
