Season,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Home_Last_5_Wins,Away_Last_5_Wins,H2H_Home_Wins,H2H_Home_Losses,H2H_Away_Wins,H2H_Away_Losses,H2H_Draws,Result_Encoded,Home_Form,Away_Form
2014, Batroolka FC , Elman FC ,1,2,-1,1,0,3,0,0,0,0,0,-1,1.0,5.0
2014, Dekedda SC , Jeenyo  FC ,0,3,-3,3,1,3,0,0,0,0,2,-1,5.0,2.0
2014, Gaadiidka FC , Horseed S.C ,2,2,0,0,1,1,0,0,0,0,0,0,1.0,13.0
2014, Heegan S.C , Elman FC ,1,2,-1,1,4,4,0,0,0,0,0,-1,7.0,5.0
2014, Mogadishu City Club , Jeenyo  FC ,1,1,0,0,3,4,0,1,1,0,1,0,11.0,2.0
2014, Batroolka FC , Horseed S.C ,1,3,-2,2,0,0,0,0,0,0,0,-1,1.0,13.0
2014, Dekedda SC , Gaadiidka FC ,1,1,0,0,1,1,0,0,0,0,0,0,5.0,9.0
2014, Jeenyo  FC , Heegan S.C ,0,1,-1,1,3,3,0,0,0,0,1,-1,9.0,11.0
2014, Elman FC , Horseed S.C ,3,3,0,0,4,1,1,0,0,1,0,0,3.0,13.0
2014, Mogadishu City Club , Gaadiidka FC ,3,2,1,-1,3,1,0,0,0,0,0,1,11.0,9.0
2014, Batroolka FC , Dekedda SC ,0,1,-1,1,0,1,0,0,0,0,0,-1,1.0,10.0
2014, Jeenyo  FC , Gaadiidka FC ,2,0,2,-2,2,1,0,0,0,0,0,1,9.0,9.0
2014, Heegan S.C , Horseed S.C ,3,0,3,-3,3,1,1,0,0,1,1,1,7.0,13.0
2014, Elman FC , Dekedda SC ,2,0,2,-2,4,1,1,0,0,1,0,1,3.0,10.0
2014, Mogadishu City Club , Batroolka FC ,4,1,3,-3,3,0,0,0,0,0,0,1,11.0,3.0
2014, Gaadiidka FC , Heegan S.C ,1,2,-1,1,0,3,0,1,1,0,0,-1,1.0,11.0
2014, Dekedda SC , Horseed S.C ,0,1,-1,1,1,1,0,1,1,0,1,-1,5.0,13.0
2014, Jeenyo  FC , Batroolka FC ,1,1,0,0,3,0,1,0,0,1,0,0,9.0,3.0
2014, Mogadishu City Club , Elman FC ,0,0,0,0,4,4,0,0,0,0,1,0,11.0,5.0
2014, Heegan S.C , Dekedda SC ,1,2,-1,1,3,1,0,0,0,0,1,-1,7.0,10.0
2014, Batroolka FC , Gaadiidka FC ,0,2,-2,2,0,0,0,1,1,0,0,-1,1.0,9.0
2014, Mogadishu City Club , Horseed S.C ,2,0,2,-2,3,2,0,0,0,0,2,1,11.0,13.0
2014, Elman FC , Jeenyo  FC ,2,5,-3,3,3,2,0,0,0,0,1,-1,3.0,2.0
2014, Batroolka FC , Heegan S.C ,1,3,-2,2,0,3,0,1,1,0,0,-1,1.0,11.0
2014, Mogadishu City Club , Dekedda SC ,2,1,1,-1,3,2,0,0,0,0,1,1,11.0,10.0
2014, Elman FC , Gaadiidka FC ,3,1,2,-2,2,1,0,0,0,0,0,1,3.0,9.0
2014, Jeenyo  FC , Horseed S.C ,1,0,1,-1,2,2,0,0,0,0,1,1,9.0,13.0
2014, Heegan S.C , Mogadishu City Club ,0,2,-2,2,4,4,1,1,1,1,1,-1,7.0,6.0
2014, Elman FC , Batroolka FC ,8,0,8,-8,2,0,0,0,0,0,0,1,3.0,3.0
2014, Jeenyo  FC , Dekedda SC ,1,1,0,0,3,2,0,0,0,0,2,0,9.0,10.0
