Season,Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Goal_Diff,Away_Goal_Diff,Result,Home_Last_5_Wins,Away_Last_5_Wins
2014,2014-03-14, Horseed S.C , Gaadiidka FC ,3,2,1,-1,Win,1,1
2014,2014-03-20, Elman FC , Heegan S.C ,2,2,0,0,Draw,3,3
2014,2014-03-21, Jeenyo  FC , Mogadishu City Club ,1,1,0,0,Draw,3,4
2014,2014-03-24, Horseed S.C , Batroolka FC ,6,1,5,-5,Win,2,0
2014,2014-03-25, Gaadiidka FC , Dekedda SC ,0,0,0,0,Draw,1,1
2014,2014-03-27, Heegan S.C , Jeenyo  FC ,1,1,0,0,Draw,2,2
2014,2014-03-28, Horseed S.C , Elman FC ,1,1,0,0,Draw,3,2
2014,2014-03-31, Gaadiidka FC , Mogadishu City Club ,1,2,-1,1,Loss,1,3
2014,2014-04-01, Dekedda SC , Batroolka FC ,1,2,-1,1,Loss,1,0
2014,2014-04-03, Horseed S.C , Heegan S.C ,3,3,0,0,Draw,2,1
2014,2014-04-04, Gaadiidka FC , Jeenyo  FC ,3,1,2,-2,Win,1,2
2014,2014-04-05, Dekedda SC , Elman FC ,0,3,-3,3,Loss,1,2
2014,2014-04-06, Batroolka FC , Mogadishu City Club ,1,7,-6,6,Loss,1,4
2014,2014-10-12, Geeska Afrika FC , Gasko FC ,0,1,-1,1,Loss,1,1
2014,2014-10-14, , Jazeera SC ,2,6,-4,4,Loss,0,2
2014,2014-10-16, Jamhuuriya FC , Raadsan FC ,3,0,3,-3,Win,4,3
2014,2014-10-17, Midnimo FC , Gasko FC ,3,0,3,-3,Win,0,2
2014,2014-10-19, Geeska Afrika FC , Raadsan FC ,3,1,2,-2,Win,1,3
2014,2014-10-21, Jamhuuriya FC , ,6,2,4,-4,Win,4,0
2014,2014-10-23, Jazeera SC , Midnimo FC ,2,3,-1,1,Loss,3,1
2014,2014-10-24, Gasko FC , Raadsan FC ,0,4,-4,4,Loss,2,2
2014,2014-10-26, Geeska Afrika FC , ,2,1,1,-1,Win,2,0
2014,2014-10-28, Midnimo FC , Raadsan FC ,4,3,1,-1,Win,2,3
2014,2014-10-30, Jazeera SC , Jamhuuriya FC ,1,2,-1,1,Loss,2,4
2014,2014-10-31, Gasko FC , ,1,0,1,-1,Win,2,0
2014,2014-11-02, Jamhuuriya FC , Midnimo FC ,1,1,0,0,Draw,4,3
2014,2014-11-04, Raadsan FC , ,2,1,1,-1,Win,2,0
2014,2014-11-06, Jazeera SC , Geeska Afrika FC ,3,2,1,-1,Win,2,3
